time, collision_type, b, v_esc/v_imp, mlr, m_t, m_p
2.184600e+02,2,2.981012e-05,9.602493e-01,5.062825e-07,2.978498e-07,2.253653e-07,
4.245438e+02,2,3.487003e-05,9.758867e-01,9.030376e-07,5.232151e-07,4.136422e-07,
4.967780e+02,2,4.502997e-05,9.872224e-01,1.278324e-06,9.368573e-07,3.559011e-07,
4.969687e+02,2,4.293122e-05,9.989755e-01,5.998259e-07,4.658692e-07,1.341562e-07,
6.398631e+02,3,1.399702e-05,9.292015e-01,3.780625e-07,3.491505e-07,3.452232e-08,
1.032086e+03,3,2.011825e-05,9.719622e-01,1.585308e-06,1.292758e-06,3.836728e-07,
2.844233e+03,2,3.265717e-05,9.780264e-01,6.501255e-07,3.575036e-07,3.137464e-07,
7.013106e+03,3,1.775678e-05,9.717027e-01,5.120655e-07,4.115975e-07,1.270001e-07,
7.082193e+03,7,4.881662e-05,8.827157e-01,1.163413e-06,6.712499e-07,5.029541e-07,
7.082193e+03,7,4.881662e-05,8.827157e-01,1.163413e-06,6.712499e-07,5.029541e-07,
